"","sample_id","genotype","block_number","replica_number","dev_stage","dev_group","leaf_number","leaf_zone","dag","tissue_designation","developmental_stage_dap","variable","value"
"23511","D12B213A","B73",2,2,9,"7-9",13,"Along",49,"B73_13_9",50,"TG_50_3_16_0_16_0_18_3",13263
"23512","D12C113A","CML312",2,1,10,">9",13,"Along",49,"CML312_13_10",50,"TG_50_3_16_0_16_0_18_3",7692
"23513","D12C213A","CML312",2,2,11,">9",13,"Along",49,"CML312_13_11",50,"TG_50_3_16_0_16_0_18_3",11144
"23514","D12P113A","PT",2,1,8,"7-9",13,"Along",49,"PT_13_8",50,"TG_50_3_16_0_16_0_18_3",12051
"23515","D13B14A","B73",3,1,6,"4-6",4,"Along",40,"B73_4_6",40,"TG_50_3_16_0_16_0_18_3",22682
"23516","D13B24A","B73",3,2,6,"4-6",4,"Along",40,"B73_4_6",40,"TG_50_3_16_0_16_0_18_3",24083
"23517","D13C14A","CML312",3,1,8,"7-9",4,"Along",40,"CML312_4_8",40,"TG_50_3_16_0_16_0_18_3",44401
"23518","D13C24A","CML312",3,2,8,"7-9",4,"Along",40,"CML312_4_8",40,"TG_50_3_16_0_16_0_18_3",52968
"23519","D13P14A","PT",3,1,8,"7-9",4,"Along",40,"PT_4_8",40,"TG_50_3_16_0_16_0_18_3",19764
"23520","D13P24A","PT",3,2,7,">9",4,"Along",40,"PT_4_7",40,"TG_50_3_16_0_16_0_18_3",19893
"23521","D13B15A","B73",3,1,6,"4-6",5,"Along",40,"B73_5_6",40,"TG_50_3_16_0_16_0_18_3",19202
"23522","D13B25A","B73",3,2,6,"4-6",5,"Along",40,"B73_5_6",40,"TG_50_3_16_0_16_0_18_3",19676
"23523","D13C25A","CML312",3,2,8,"7-9",5,"Along",40,"CML312_5_8",40,"TG_50_3_16_0_16_0_18_3",43362
"23524","D13P15A","PT",3,1,8,"7-9",5,"Along",40,"PT_5_8",40,"TG_50_3_16_0_16_0_18_3",18376
"23525","D13P25A","PT",3,2,7,">9",5,"Along",40,"PT_5_7",40,"TG_50_3_16_0_16_0_18_3",19318
"23526","D13B17A","B73",3,1,6,"4-6",7,"Along",40,"B73_7_6",40,"TG_50_3_16_0_16_0_18_3",14107
"23527","D13B27A","B73",3,2,6,"4-6",7,"Along",40,"B73_7_6",40,"TG_50_3_16_0_16_0_18_3",22357
"23528","D13C17A","CML312",3,1,8,"7-9",7,"Along",40,"CML312_7_8",40,"TG_50_3_16_0_16_0_18_3",20219
"23529","D13C27A","CML312",3,2,8,"7-9",7,"Along",40,"CML312_7_8",40,"TG_50_3_16_0_16_0_18_3",33652
"23530","D13P17A","PT",3,1,8,"7-9",7,"Along",40,"PT_7_8",40,"TG_50_3_16_0_16_0_18_3",23158
"23531","D13P27A","PT",3,2,7,">9",7,"Along",40,"PT_7_7",40,"TG_50_3_16_0_16_0_18_3",37677
"23532","D13C19A","CML312",3,1,8,"7-9",9,"Along",40,"CML312_9_8",40,"TG_50_3_16_0_16_0_18_3",14942
"23533","D13C29A","CML312",3,2,8,"7-9",9,"Along",40,"CML312_9_8",40,"TG_50_3_16_0_16_0_18_3",12192
"23534","D13P19A","PT",3,1,8,"7-9",9,"Along",40,"PT_9_8",40,"TG_50_3_16_0_16_0_18_3",11235
"23535","D13P29A","PT",3,2,7,">9",9,"Along",40,"PT_9_7",40,"TG_50_3_16_0_16_0_18_3",15921
"23536","D14B14A","B73",4,1,4,"4-6",4,"Along",27,"B73_4_4",28,"TG_50_3_16_0_16_0_18_3",12548
"23537","D14B24A","B73",4,2,4,"4-6",4,"Along",28,"B73_4_4",28,"TG_50_3_16_0_16_0_18_3",4905
"23538","D14P14A","PT",4,1,4,"4-6",4,"Along",28,"PT_4_4",28,"TG_50_3_16_0_16_0_18_3",11368
"23539","D14P24A","PT",4,2,5,"4-6",4,"Along",27,"PT_4_5",28,"TG_50_3_16_0_16_0_18_3",47529
"23540","D14C14A","CML312",4,1,5,"4-6",4,"Along",26,"CML312_4_5",28,"TG_50_3_16_0_16_0_18_3",79715
"23541","D14C24A","CML312",4,2,6,"4-6",4,"Along",26,"CML312_4_6",28,"TG_50_3_16_0_16_0_18_3",18299
"23542","D14B15A","B73",4,1,4,"4-6",5,"Along",27,"B73_5_4",28,"TG_50_3_16_0_16_0_18_3",18889
"23543","D14B25A","B73",4,2,4,"4-6",5,"Along",28,"B73_5_4",28,"TG_50_3_16_0_16_0_18_3",15294
"23544","D14C15A","CML312",4,1,5,"4-6",5,"Along",26,"CML312_5_5",28,"TG_50_3_16_0_16_0_18_3",25784
"23545","D14C25A","CML312",4,2,6,"4-6",5,"Along",26,"CML312_5_6",28,"TG_50_3_16_0_16_0_18_3",12171
"23546","D14P15A","PT",4,1,4,"4-6",5,"Along",28,"PT_5_4",28,"TG_50_3_16_0_16_0_18_3",9614
"23547","D14P25A","PT",4,2,5,"4-6",5,"Along",27,"PT_5_5",28,"TG_50_3_16_0_16_0_18_3",12490
"23548","D14P27A","PT",4,2,5,"4-6",7,"Along",27,"PT_7_5",28,"TG_50_3_16_0_16_0_18_3",14992
"23549","D14C17A","CML312",4,1,5,"4-6",7,"Along",26,"CML312_7_5",28,"TG_50_3_16_0_16_0_18_3",10484
"23550","D14C27A","CML312",4,2,6,"4-6",7,"Along",26,"CML312_7_6",28,"TG_50_3_16_0_16_0_18_3",9868
"23551","D11B15B","B73",1,1,12,">9",5,"Base",57,"B73_5_12",58,"TG_52_1_16_0_18_0_18_1",6192
"23552","D11C15B","CML312",1,1,14,">9",5,"Base",57,"CML312_5_14",58,"TG_52_1_16_0_18_0_18_1",36092
"23553","D11B15C","B73",1,1,12,">9",5,"Center",57,"B73_5_12",58,"TG_52_1_16_0_18_0_18_1",4297
"23554","D11B25C","B73",1,2,11,">9",5,"Center",57,"B73_5_11",58,"TG_52_1_16_0_18_0_18_1",6263
"23555","D11C15C","CML312",1,1,14,">9",5,"Center",57,"CML312_5_14",58,"TG_52_1_16_0_18_0_18_1",21264
"23556","D11B15T","B73",1,1,12,">9",5,"Tip",57,"B73_5_12",58,"TG_52_1_16_0_18_0_18_1",4173
"23557","D11C15T","CML312",1,1,14,">9",5,"Tip",57,"CML312_5_14",58,"TG_52_1_16_0_18_0_18_1",24579
"23558","D11C17B","CML312",1,1,14,">9",7,"Base",57,"CML312_7_14",58,"TG_52_1_16_0_18_0_18_1",4838
"23559","D11B17B","B73",1,1,12,">9",7,"Base",57,"B73_7_12",58,"TG_52_1_16_0_18_0_18_1",2342
"23560","D11B27B","B73",1,2,11,">9",7,"Base",57,"B73_7_11",58,"TG_52_1_16_0_18_0_18_1",4553
"23561","D11P17B","PT",1,1,14,">9",7,"Base",57,"PT_7_14",58,"TG_52_1_16_0_18_0_18_1",5259
"23562","D11P27B","PT",1,2,14,">9",7,"Base",57,"PT_7_14",58,"TG_52_1_16_0_18_0_18_1",4678
"23563","D11C27B","CML312",1,2,11,">9",7,"Base",57,"CML312_7_11",58,"TG_52_1_16_0_18_0_18_1",4913
"23564","D11B17C","B73",1,1,12,">9",7,"Center",57,"B73_7_12",58,"TG_52_1_16_0_18_0_18_1",2933
"23565","D11B27C","B73",1,2,11,">9",7,"Center",57,"B73_7_11",58,"TG_52_1_16_0_18_0_18_1",3676
"23566","D11P17C","PT",1,1,14,">9",7,"Center",57,"PT_7_14",58,"TG_52_1_16_0_18_0_18_1",3900
"23567","D11P27C","PT",1,2,14,">9",7,"Center",57,"PT_7_14",58,"TG_52_1_16_0_18_0_18_1",3562
"23568","D11C17C","CML312",1,1,14,">9",7,"Center",57,"CML312_7_14",58,"TG_52_1_16_0_18_0_18_1",1558
"23569","D11C27C","CML312",1,2,11,">9",7,"Center",57,"CML312_7_11",58,"TG_52_1_16_0_18_0_18_1",4322
"23570","D11B17T","B73",1,1,12,">9",7,"Tip",57,"B73_7_12",58,"TG_52_1_16_0_18_0_18_1",4265
"23571","D11B27T","B73",1,2,11,">9",7,"Tip",57,"B73_7_11",58,"TG_52_1_16_0_18_0_18_1",2852
